candle_end_time,open,high,low,close,amount,info,ÅÅÃû,±ê×¼»¯³É½»Á¿,µ±ÈÕ³Ö²ÖÕÇµø·ù,µ±ÈÕ¿ª²ÖÕÇµø·ù,µ±ÈÕÆ½²ÖÕÇµø·ù,×Ê½ðÇúÏß,signal,pos,×´Ì¬,×îÖÕÕÇµø·ù
2007-03-29,2802.38,2830.08,2782.93,2783.3,106567000.0,,39.0,0.9,-0.005129304952370739,-0.006927667170508288,0.001570501814022407,1.346482252828856,,1.0,³Ö²Ö,-0.005129304952370739
2007-03-30,2768.71,2801.95,2753.15,2781.78,62950700.0,,14.0,-0.3500000000000001,-0.0005461143247224021,0.004600057952196538,-0.005361349908382107,1.3457469195826017,0.0,1.0,³Ö²Ö,-0.0005461143247224021
2007-04-02,2793.96,2850.15,2793.96,2850.11,69247900.0,,22.0,0.050000000000000044,0.02456340904025467,0.019974526420084675,0.004257966050514206,1.378803051632972,,0.0,Æ½²Ö,0.004257966050514206
2007-04-03,2861.9,2888.33,2852.57,2888.11,77014500.0,,32.0,0.55,0.013332818733312157,0.009037167051187697,0.004016186041942316,1.3971863827893318,1.0,0.0,¿Õ²Ö,0.0
2007-04-04,2893.38,2924.68,2875.69,2911.82,75506700.0,,30.0,0.44999999999999996,0.008209521105497997,0.0062524188060943744,0.0017045037758256498,1.4086566138871555,,1.0,¿ª²Ö,0.0062524188060943744
2007-04-05,2909.5,2950.66,2895.42,2945.04,74139000.0,,28.0,0.35,0.011408672239355377,0.012093705998792666,-0.0009166569362117905,1.424727515492794,,1.0,³Ö²Ö,0.011408672239355377
2007-04-06,2921.73,2977.46,2911.05,2972.01,79102300.0,,34.0,0.65,0.00915777035286447,0.01708693191766841,-0.008034053051910961,1.4377748428950845,,1.0,³Ö²Ö,0.00915777035286447
2007-04-09,2988.38,3043.06,2988.38,3038.17,90901700.0,,38.0,0.85,0.022261028731397126,0.016539216346113494,0.005387395870134926,1.469781189982052,,1.0,³Ö²Ö,0.022261028731397126
2007-04-10,3053.35,3081.62,2993.11,3081.57,100888000.0,,38.0,0.85,0.014284914932344073,0.00912121308375527,0.00487582919981433,1.4907768892501052,,1.0,³Ö²Ö,0.014284914932344073
2007-04-11,3092.08,3121.54,3059.28,3121.32,101670000.0,,38.0,0.85,0.01289926887917514,0.009335297450782333,0.003290189870747584,1.5100068211834028,,1.0,³Ö²Ö,0.01289926887917514
2007-04-12,3129.25,3176.69,3114.91,3176.44,92535200.0,,36.0,0.75,0.017659195468583855,0.014958495785011591,0.0024202869298886043,1.5366723267975753,,1.0,³Ö²Ö,0.017659195468583855
2007-04-13,3182.78,3211.61,3154.11,3169.23,100653000.0,,36.0,0.75,-0.0022698366725013575,-0.004376759301165661,0.001875705632720992,1.5331843315965923,,1.0,³Ö²Ö,-0.0022698366725013575
2007-04-16,3177.3,3256.57,3177.29,3256.0,87928900.0,,33.0,0.6,0.027378890140507206,0.024646500765043863,0.0024260542781686656,1.5751612169765223,,1.0,³Ö²Ö,0.027378890140507206
2007-04-17,3273.43,3288.17,3182.95,3283.6,105307000.0,,38.0,0.85,0.00847665847665846,0.002986474516994945,0.005232551719901668,1.58851332065851,,1.0,³Ö²Ö,0.00847665847665846
2007-04-18,3294.21,3311.98,3244.93,3304.5,101427000.0,,36.0,0.75,0.006364965282007473,0.003003302029649235,0.0031108219027897732,1.5986241527945082,,1.0,³Ö²Ö,0.006364965282007473
2007-04-19,3297.95,3297.95,3065.28,3150.3,115270000.0,,41.0,1.0,-0.04666364049024052,-0.04488484987374665,-0.00210190770161911,1.5240265300494897,,1.0,³Ö²Ö,-0.04666364049024052
2007-04-20,3165.67,3297.41,3165.67,3289.28,94469900.0,,32.0,0.55,0.044116433355553486,0.038922355697198006,0.004758314954131482,1.5912611448945135,,1.0,³Ö²Ö,0.044116433355553486
2007-04-23,3330.8,3433.52,3330.8,3431.32,109959000.0,,39.0,0.9,0.04318270259752888,0.030055329351831136,0.012501308493044094,1.6599761016694967,,1.0,³Ö²Ö,0.04318270259752888
2007-04-24,3462.48,3490.81,3418.3,3445.2,114643000.0,,40.0,0.95,0.004045090519100514,-0.005110029341706738,0.008959963629157297,1.6666908552602933,,1.0,³Ö²Ö,0.004045090519100514
